ts,sleeve,action,detail
2026-12-14 04:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 05:00:00-05:00,intl_equity,ok,in band
2026-12-14 05:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 05:30:00-05:00,intl_equity,ok,in band
2026-12-14 05:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 06:00:00-05:00,intl_equity,ok,in band
2026-12-14 06:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 06:30:00-05:00,intl_equity,ok,in band
2026-12-14 06:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 07:00:00-05:00,intl_equity,ok,in band
2026-12-14 07:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 07:30:00-05:00,us_large_cap,ok,in band
2026-12-14 07:30:00-05:00,intl_equity,ok,in band
2026-12-14 07:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 07:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 08:00:00-05:00,intl_equity,ok,in band
2026-12-14 08:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 08:30:00-05:00,us_large_cap,ok,in band
2026-12-14 08:30:00-05:00,intl_equity,ok,in band
2026-12-14 08:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 08:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 09:00:00-05:00,intl_equity,ok,in band
2026-12-14 09:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 09:30:00-05:00,intl_equity,ok,in band
2026-12-14 09:30:00-05:00,intl_equity,trade,"buy 2 VXUS limit 62 in regular: cash flow: cash 13.52% above 13.00%, deploying"
2026-12-14 10:00:00-05:00,us_large_cap,ok,in band
2026-12-14 10:00:00-05:00,intl_equity,ok,in band
2026-12-14 10:00:00-05:00,intl_equity,trade,"buy 2 VXUS limit 62.06 in regular: cash flow: cash 13.41% above 13.00%, deploying"
2026-12-14 10:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 10:30:00-05:00,intl_equity,ok,in band
2026-12-14 10:30:00-05:00,intl_equity,trade,"buy 1 VXUS limit 62.03 in regular: cash flow: cash 13.27% above 13.00%, deploying"
2026-12-14 11:00:00-05:00,us_large_cap,ok,in band
2026-12-14 11:00:00-05:00,intl_equity,ok,in band
2026-12-14 11:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 62.16 in regular: cash flow: cash 13.23% above 13.00%, deploying"
2026-12-14 11:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 11:30:00-05:00,intl_equity,ok,in band
2026-12-14 11:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 12:00:00-05:00,intl_equity,ok,in band
2026-12-14 12:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 12:30:00-05:00,intl_equity,ok,in band
2026-12-14 12:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 13:00:00-05:00,us_large_cap,ok,in band
2026-12-14 13:00:00-05:00,intl_equity,ok,in band
2026-12-14 13:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 13:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 13:30:00-05:00,us_large_cap,ok,in band
2026-12-14 13:30:00-05:00,intl_equity,ok,in band
2026-12-14 13:30:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.93 in regular: cash flow: cash 13.25% above 13.00%, deploying"
2026-12-14 13:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 14:00:00-05:00,intl_equity,ok,in band
2026-12-14 14:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 14:30:00-05:00,intl_equity,ok,in band
2026-12-14 14:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 15:00:00-05:00,intl_equity,ok,in band
2026-12-14 15:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 15:30:00-05:00,intl_equity,ok,in band
2026-12-14 15:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 16:00:00-05:00,intl_equity,ok,in band
2026-12-14 16:00:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.20% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-14 16:30:00-05:00,intl_equity,ok,in band
2026-12-14 16:30:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.18% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-14 17:00:00-05:00,intl_equity,ok,in band
2026-12-14 17:00:00-05:00,intl_equity,skip,"trade $4.33 under $25 minimum (cash flow: cash 13.15% above 13.00%, deploying)"
2026-12-14 17:30:00-05:00,intl_equity,ok,in band
2026-12-14 17:30:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.20% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-14 18:00:00-05:00,intl_equity,ok,in band
2026-12-14 18:30:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.21% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-14 19:00:00-05:00,intl_equity,ok,in band
2026-12-14 19:30:00-05:00,intl_equity,skip,"trade $3.18 under $25 minimum (cash flow: cash 13.19% above 13.00%, deploying)"
2026-12-14 20:00:00-05:00,us_large_cap,hold,below band: 25.84% vs 26.00%-34.00%; frozen: no instrument for the pause session
2026-12-14 20:00:00-05:00,intl_equity,ok,in band
2026-12-14 21:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 22:00:00-05:00,eth,trade,sell 0.00712 ETH-USD limit 4378.43 in overnight: above band: 16.53% vs 13.50%-16.50%
2026-12-14 22:30:00-05:00,eth,trade,sell 0.01495 ETH-USD limit 4411.17 in overnight: above band: 16.56% vs 13.50%-16.50%
2026-12-14 23:00:00-05:00,eth,ok,in band
2026-12-15 02:30:00-05:00,intl_equity,skip,"trade $6.46 under $25 minimum (cash flow: cash 13.19% above 13.00%, deploying)"
2026-12-15 03:00:00-05:00,intl_equity,ok,in band
2026-12-15 03:00:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.23% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-15 03:30:00-05:00,intl_equity,ok,in band
2026-12-15 03:30:00-05:00,intl_equity,skip,"trade $10.26 under $25 minimum (cash flow: cash 13.23% above 13.00%, deploying; off-hours cap 25% of $41 needed)"
2026-12-15 04:00:00-05:00,intl_equity,ok,in band
2026-12-15 04:00:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.28% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 04:30:00-05:00,intl_equity,ok,in band
2026-12-15 04:30:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.23% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 05:00:00-05:00,intl_equity,ok,in band
2026-12-15 05:00:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.22% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 05:30:00-05:00,intl_equity,ok,in band
2026-12-15 05:30:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.26% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 06:00:00-05:00,intl_equity,ok,in band
2026-12-15 06:00:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.21% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 06:30:00-05:00,intl_equity,ok,in band
2026-12-15 06:30:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.23% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 07:00:00-05:00,intl_equity,ok,in band
2026-12-15 07:00:00-05:00,intl_equity,skip,"trade $15.91 under $25 minimum (cash flow: cash 13.20% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-15 07:30:00-05:00,intl_equity,ok,in band
2026-12-15 08:00:00-05:00,intl_equity,skip,"trade $0.06 under $25 minimum (cash flow: cash 13.15% above 13.00%, deploying)"
2026-12-15 08:30:00-05:00,intl_equity,ok,in band
2026-12-15 08:30:00-05:00,intl_equity,skip,"trade $4.01 under $25 minimum (cash flow: cash 13.17% above 13.00%, deploying)"
2026-12-15 09:00:00-05:00,intl_equity,ok,in band
2026-12-15 10:00:00-05:00,intl_equity,skip,"trade $17.05 under $25 minimum (cash flow: cash 13.22% above 13.00%, deploying)"
2026-12-15 10:30:00-05:00,intl_equity,ok,in band
2026-12-15 10:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 11:00:00-05:00,intl_equity,ok,in band
2026-12-15 11:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.84 in regular: cash flow: cash 13.31% above 13.00%, deploying"
2026-12-15 11:30:00-05:00,intl_equity,ok,in band
2026-12-15 12:00:00-05:00,intl_equity,skip,"trade $17.20 under $25 minimum (cash flow: cash 13.22% above 13.00%, deploying)"
2026-12-15 12:30:00-05:00,intl_equity,ok,in band
2026-12-15 12:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 13:00:00-05:00,intl_equity,ok,in band
2026-12-15 13:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.63 in regular: cash flow: cash 13.28% above 13.00%, deploying"
2026-12-15 13:30:00-05:00,intl_equity,ok,in band
2026-12-15 13:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 14:00:00-05:00,intl_equity,ok,in band
2026-12-15 14:00:00-05:00,intl_equity,skip,"trade $11.76 under $25 minimum (cash flow: cash 13.17% above 13.00%, deploying)"
2026-12-15 14:30:00-05:00,intl_equity,ok,in band
2026-12-15 14:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 15:00:00-05:00,us_large_cap,ok,in band
2026-12-15 15:00:00-05:00,intl_equity,ok,in band
2026-12-15 15:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 15:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 15:30:00-05:00,intl_equity,ok,in band
2026-12-15 15:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-15 16:00:00-05:00,intl_equity,ok,in band
2026-12-15 16:00:00-05:00,intl_equity,skip,"trade $9.40 under $25 minimum (cash flow: cash 13.17% above 13.00%, deploying; off-hours cap 25% of $38 needed)"
2026-12-15 16:30:00-05:00,intl_equity,ok,in band
2026-12-15 16:30:00-05:00,intl_equity,skip,"trade $9.56 under $25 minimum (cash flow: cash 13.17% above 13.00%, deploying; off-hours cap 25% of $38 needed)"
2026-12-15 17:00:00-05:00,us_large_cap,ok,in band
2026-12-15 17:00:00-05:00,intl_equity,ok,in band
2026-12-15 17:00:00-05:00,intl_equity,skip,"trade $13.00 under $25 minimum (cash flow: cash 13.21% above 13.00%, deploying; off-hours cap 25% of $52 needed)"
2026-12-15 17:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 17:30:00-05:00,us_large_cap,ok,in band
2026-12-15 17:30:00-05:00,intl_equity,ok,in band
2026-12-15 17:30:00-05:00,intl_equity,skip,"trade $15.08 under $25 minimum (cash flow: cash 13.25% above 13.00%, deploying; off-hours cap 25% of $60 needed)"
2026-12-15 17:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 18:00:00-05:00,us_large_cap,ok,in band
2026-12-15 18:00:00-05:00,intl_equity,ok,in band
2026-12-15 18:00:00-05:00,intl_equity,skip,"trade $16.30 under $25 minimum (cash flow: cash 13.27% above 13.00%, deploying; off-hours cap 25% of $65 needed)"
2026-12-15 18:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 18:30:00-05:00,us_large_cap,ok,in band
2026-12-15 18:30:00-05:00,intl_equity,ok,in band
2026-12-15 18:30:00-05:00,intl_equity,skip,"trade $17.81 under $25 minimum (cash flow: cash 13.29% above 13.00%, deploying; off-hours cap 25% of $71 needed)"
2026-12-15 18:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 19:00:00-05:00,us_large_cap,ok,in band
2026-12-15 19:00:00-05:00,intl_equity,ok,in band
2026-12-15 19:00:00-05:00,intl_equity,skip,"trade $19.36 under $25 minimum (cash flow: cash 13.32% above 13.00%, deploying; off-hours cap 25% of $77 needed)"
2026-12-15 19:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 19:30:00-05:00,us_large_cap,ok,in band
2026-12-15 19:30:00-05:00,intl_equity,ok,in band
2026-12-15 19:30:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.34% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 19:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 20:00:00-05:00,us_large_cap,ok,in band
2026-12-15 20:00:00-05:00,intl_equity,ok,in band
2026-12-15 21:00:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.25% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 21:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 21:30:00-05:00,us_large_cap,ok,in band
2026-12-15 21:30:00-05:00,intl_equity,ok,in band
2026-12-15 21:30:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.29% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 21:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 22:00:00-05:00,us_large_cap,ok,in band
2026-12-15 22:00:00-05:00,intl_equity,ok,in band
2026-12-15 22:00:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.30% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 22:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 22:30:00-05:00,us_large_cap,ok,in band
2026-12-15 22:30:00-05:00,intl_equity,ok,in band
2026-12-15 22:30:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.33% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 22:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 23:00:00-05:00,us_large_cap,ok,in band
2026-12-15 23:00:00-05:00,intl_equity,ok,in band
2026-12-15 23:00:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.30% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 23:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-15 23:30:00-05:00,us_large_cap,ok,in band
2026-12-15 23:30:00-05:00,intl_equity,ok,in band
2026-12-15 23:30:00-05:00,intl_equity,skip,"trade $20.63 under $25 minimum (cash flow: cash 13.33% above 13.00%, deploying; off-hours cap 25% of $83 needed)"
2026-12-15 23:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 00:00:00-05:00,us_large_cap,ok,in band
2026-12-16 00:00:00-05:00,intl_equity,ok,in band
2026-12-16 00:00:00-05:00,intl_equity,skip,"trade $21.10 under $25 minimum (cash flow: cash 13.34% above 13.00%, deploying; off-hours cap 25% of $84 needed)"
2026-12-16 00:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 00:30:00-05:00,us_large_cap,ok,in band
2026-12-16 00:30:00-05:00,intl_equity,ok,in band
2026-12-16 00:30:00-05:00,intl_equity,skip,"trade $22.15 under $25 minimum (cash flow: cash 13.36% above 13.00%, deploying; off-hours cap 25% of $89 needed)"
2026-12-16 00:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 01:00:00-05:00,us_large_cap,ok,in band
2026-12-16 01:00:00-05:00,intl_equity,ok,in band
2026-12-16 01:00:00-05:00,intl_equity,skip,"trade $23.90 under $25 minimum (cash flow: cash 13.39% above 13.00%, deploying; off-hours cap 25% of $96 needed)"
2026-12-16 01:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 01:30:00-05:00,us_large_cap,ok,in band
2026-12-16 01:30:00-05:00,intl_equity,ok,in band
2026-12-16 01:30:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.40% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 01:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 02:00:00-05:00,us_large_cap,ok,in band
2026-12-16 02:00:00-05:00,intl_equity,ok,in band
2026-12-16 02:00:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.35% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 02:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 02:30:00-05:00,us_large_cap,ok,in band
2026-12-16 02:30:00-05:00,intl_equity,ok,in band
2026-12-16 02:30:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.34% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 02:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 03:00:00-05:00,us_large_cap,ok,in band
2026-12-16 03:00:00-05:00,intl_equity,ok,in band
2026-12-16 03:00:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.29% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 03:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 03:30:00-05:00,us_large_cap,ok,in band
2026-12-16 03:30:00-05:00,intl_equity,ok,in band
2026-12-16 03:30:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.34% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 03:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 04:00:00-05:00,us_large_cap,ok,in band
2026-12-16 04:00:00-05:00,intl_equity,ok,in band
2026-12-16 04:00:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.34% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 04:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 04:30:00-05:00,us_large_cap,ok,in band
2026-12-16 04:30:00-05:00,intl_equity,ok,in band
2026-12-16 04:30:00-05:00,intl_equity,skip,"trade $24.57 under $25 minimum (cash flow: cash 13.35% above 13.00%, deploying; off-hours cap 25% of $98 needed)"
2026-12-16 04:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 05:00:00-05:00,us_large_cap,ok,in band
2026-12-16 05:00:00-05:00,intl_equity,ok,in band
2026-12-16 05:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 05:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 05:30:00-05:00,us_large_cap,ok,in band
2026-12-16 05:30:00-05:00,intl_equity,ok,in band
2026-12-16 05:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 05:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 06:00:00-05:00,us_large_cap,ok,in band
2026-12-16 06:00:00-05:00,intl_equity,ok,in band
2026-12-16 06:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 06:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 06:30:00-05:00,us_large_cap,ok,in band
2026-12-16 06:30:00-05:00,intl_equity,ok,in band
2026-12-16 06:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 06:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 07:00:00-05:00,us_large_cap,ok,in band
2026-12-16 07:00:00-05:00,intl_equity,ok,in band
2026-12-16 07:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 07:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 07:30:00-05:00,us_large_cap,ok,in band
2026-12-16 07:30:00-05:00,intl_equity,ok,in band
2026-12-16 07:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 07:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 08:00:00-05:00,us_large_cap,ok,in band
2026-12-16 08:00:00-05:00,intl_equity,ok,in band
2026-12-16 08:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 08:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 08:30:00-05:00,us_large_cap,ok,in band
2026-12-16 08:30:00-05:00,intl_equity,ok,in band
2026-12-16 08:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 08:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 09:00:00-05:00,us_large_cap,ok,in band
2026-12-16 09:00:00-05:00,intl_equity,ok,in band
2026-12-16 09:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 09:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 09:30:00-05:00,us_large_cap,ok,in band
2026-12-16 09:30:00-05:00,intl_equity,ok,in band
2026-12-16 09:30:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.3 in regular: cash flow: cash 13.49% above 13.00%, deploying"
2026-12-16 09:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 10:00:00-05:00,us_large_cap,ok,in band
2026-12-16 10:00:00-05:00,intl_equity,ok,in band
2026-12-16 10:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.38 in regular: cash flow: cash 13.40% above 13.00%, deploying"
2026-12-16 10:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 10:30:00-05:00,us_large_cap,ok,in band
2026-12-16 10:30:00-05:00,intl_equity,ok,in band
2026-12-16 10:30:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.4 in regular: cash flow: cash 13.31% above 13.00%, deploying"
2026-12-16 10:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 11:00:00-05:00,us_large_cap,ok,in band
2026-12-16 11:00:00-05:00,intl_equity,ok,in band
2026-12-16 11:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 11:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 11:30:00-05:00,us_large_cap,ok,in band
2026-12-16 11:30:00-05:00,intl_equity,ok,in band
2026-12-16 11:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 11:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 12:00:00-05:00,us_large_cap,ok,in band
2026-12-16 12:00:00-05:00,intl_equity,ok,in band
2026-12-16 12:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.33 in regular: cash flow: cash 13.34% above 13.00%, deploying"
2026-12-16 12:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 12:30:00-05:00,us_large_cap,ok,in band
2026-12-16 12:30:00-05:00,intl_equity,ok,in band
2026-12-16 12:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 12:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 13:00:00-05:00,us_large_cap,ok,in band
2026-12-16 13:00:00-05:00,intl_equity,ok,in band
2026-12-16 13:00:00-05:00,intl_equity,trade,"buy 1 VXUS limit 61.32 in regular: cash flow: cash 13.35% above 13.00%, deploying"
2026-12-16 13:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 13:30:00-05:00,us_large_cap,ok,in band
2026-12-16 13:30:00-05:00,intl_equity,ok,in band
2026-12-16 13:30:00-05:00,btc,skip,"trade $0.87 under $25 minimum (cash flow: cash 13.30% above 13.00%, deploying)"
2026-12-16 13:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 13:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 14:00:00-05:00,us_large_cap,ok,in band
2026-12-16 14:00:00-05:00,intl_equity,ok,in band
2026-12-16 14:00:00-05:00,btc,ok,in band
2026-12-16 14:00:00-05:00,btc,skip,"trade $4.53 under $25 minimum (cash flow: cash 13.31% above 13.00%, deploying)"
2026-12-16 14:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 14:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 14:30:00-05:00,us_large_cap,ok,in band
2026-12-16 14:30:00-05:00,intl_equity,ok,in band
2026-12-16 14:30:00-05:00,btc,ok,in band
2026-12-16 14:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 14:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 15:00:00-05:00,us_large_cap,ok,in band
2026-12-16 15:00:00-05:00,intl_equity,ok,in band
2026-12-16 15:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 15:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 15:30:00-05:00,us_large_cap,ok,in band
2026-12-16 15:30:00-05:00,intl_equity,ok,in band
2026-12-16 15:30:00-05:00,btc,skip,"trade $0.75 under $25 minimum (cash flow: cash 13.32% above 13.00%, deploying)"
2026-12-16 15:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-16 15:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 16:00:00-05:00,us_large_cap,ok,in band
2026-12-16 16:00:00-05:00,intl_equity,ok,in band
2026-12-16 16:00:00-05:00,btc,ok,in band
2026-12-16 16:00:00-05:00,intl_equity,skip,"trade $16.53 under $25 minimum (cash flow: cash 13.41% above 13.00%, deploying; off-hours cap 25% of $66 needed)"
2026-12-16 16:00:00-05:00,btc,skip,"trade $21.67 under $25 minimum (cash flow: cash 13.41% above 13.00%, deploying)"
2026-12-16 16:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-16 16:30:00-05:00,us_large_cap,ok,in band
2026-12-16 16:30:00-05:00,intl_equity,ok,in band
